Number	Type	start	stop	freqmin	freqmax	Include	Analysis
1	Both	0	1000000000	1	1144	all	GW_both
2	Deletion	0	1000000000	1	1144	all	GW_del
3	Insertion	0	1000000000	1	1144	all	GW_dup
4	Deletion	0	100000	1	1144	all	GW_del_upto100kb
5	Deletion	100001	100000000	1	1144	all	GW_del_100pluskb
6	Deletion	0	1000000000	1	286	NoImplicated	NI_del_gt0leq0.25
7	Deletion	0	1000000000	287	572	NoImplicated	NI_del_gt0.25-le0.5
8	Deletion	0	1000000000	572	1144	NoImplicated	NI_del_0.5-1
9	Deletion	0	100000	1	1144	NoImplicated	NI_del_upto100kb
10	Deletion	100001	1000000000	1	1144	NoImplicated	NI_del_100pluskb
11	Both	0	1000000000	1	1144	Implicated	IMP_both
12	Deletion	0	1000000000	1	1144	Implicated	IMP_del
13	Insertion	0	1000000000	1	1144	Implicated	IMP_dup
14	Both	0	1000000000	1	1144	NoImplicated	NI_both
15	Deletion	0	1000000000	1	1144	NoImplicated	NI_del
16	Insertion	0	1000000000	1	1144	NoImplicated	NI_imp
17	Deletion	0	100000	1	1144	Implicated	IMP_del_uptok100kb
18	Deletion	100001	100000000	1	1144	Implicated	IMP_del_100pluskb
